"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 21 10:14:02 GMT 2023","Thu Sep 21 10:14:04 GMT 2023","1634","chromiumWithLogin","pulpit.spec.ts","Pulpit tests","","","balance test",""
"passed","Thu Sep 21 10:13:54 GMT 2023","Thu Sep 21 10:13:55 GMT 2023","1757","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","request intercaption practicesoftwaretesting.com",""
"passed","Thu Sep 21 10:13:52 GMT 2023","Thu Sep 21 10:13:53 GMT 2023","367","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","create reservation with random name",""
"passed","Thu Sep 21 10:13:58 GMT 2023","Thu Sep 21 10:14:00 GMT 2023","1961","chromiumWithLogin","payment.spec.ts","Payment tests","","","simple payment",""
"passed","Thu Sep 21 10:13:53 GMT 2023","Thu Sep 21 10:13:53 GMT 2023","699","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","delete all reservations",""
"passed","Thu Sep 21 10:13:57 GMT 2023","Thu Sep 21 10:13:58 GMT 2023","767","chromiumWithLogin","login.spec.ts","User login to demo bank","","","unsuccesfull login too short password",""
"passed","Thu Sep 21 10:13:55 GMT 2023","Thu Sep 21 10:13:57 GMT 2023","1227","chromiumWithLogin","login.spec.ts","User login to demo bank","","","succesfull login",""
"passed","Thu Sep 21 10:13:44 GMT 2023","Thu Sep 21 10:13:52 GMT 2023","7775","setup","../global-setup.ts","","","","login",""
"passed","Thu Sep 21 10:14:00 GMT 2023","Thu Sep 21 10:14:02 GMT 2023","1803","chromiumWithLogin","pulpit.spec.ts","Pulpit tests","","","basic transfer",""
"passed","Thu Sep 21 10:13:57 GMT 2023","Thu Sep 21 10:13:57 GMT 2023","748","chromiumWithLogin","login.spec.ts","User login to demo bank","","","unsuccesfull login too short username",""
"passed","Thu Sep 21 10:13:53 GMT 2023","Thu Sep 21 10:13:54 GMT 2023","354","chromiumWithLogin","apiTest.spec.ts","Reservation api tests","","","get single reseration",""
